,Guwahati,Kolkata,Raipur,Thiruvananthapuram,Jaipur,Chennai,Hyderabad,Pune,Indore,Delhi,Bangalore,Lucknow,Mumbai,Jio_Institute
Guwahati,100000,527.185,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000
Kolkata,527.185,100000,710.889,100000,100000,100000,100000,100000,100000,100000,100000,887.592,100000,100000
Raipur,100000,710.889,100000,100000,862.851,914.169,540.98,868.255,617.597,934.162,100000,624.327,954.574,100000
Thiruvananthapuram,100000,100000,100000,100000,100000,622.846,994.547,100000,100000,100000,497.965,100000,100000,100000
Jaipur,100000,100000,862.851,100000,100000,100000,100000,951.275,464.8,231.729,100000,508.204,934.885,100000
Chennai,100000,100000,914.169,622.846,100000,100000,515.383,914.641,100000,100000,292.277,100000,100000,100000
Hyderabad,100000,100000,540.98,994.547,100000,515.383,100000,503.809,649.518,100000,496.799,100000,619.424,100000
Pune,100000,100000,868.255,100000,951.275,914.641,503.809,100000,510.035,100000,732.354,100000,116.984,100000
Indore,100000,100000,617.597,100000,464.8,100000,649.518,510.035,100000,667.339,100000,685.819,524.304,100000
Delhi,100000,100000,934.162,100000,231.729,100000,100000,100000,667.339,100000,100000,420.656,100000,100000
Bangalore,100000,100000,100000,497.965,100000,292.277,496.799,732.354,100000,100000,100000,100000,832.985,100000
Lucknow,100000,887.592,624.327,100000,508.204,100000,100000,100000,685.819,420.656,100000,100000,100000,100000
Mumbai,100000,100000,954.574,100000,934.885,100000,619.424,116.984,524.304,100000,832.985,100000,100000,32.068
Jio_Institute,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,100000,32.068,100000
